English,Italian
Hey,EHI
my,Mio
Friend,Amico
says,dice
would be,sarebbe
you have,hai
other,altro
must,dovere
on the,sul
some,Alcuni
it seems,sembra
people,persone
we have to,dobbiamo
way,modo
Three,Tre
moment,momento
Please,Per favore
speak,parlare
mom,mamma
Look,Aspetto
Lady,Signora
big,grande
there,Là
mother,madre
we can,possiamo
after you,Dopo di te
have,Avere
success,successo
I was,Ero
woman,donna
new,nuovo
oh,OH
I do,Io faccio
I had,Avevo
our,Nostro
of the,del
these,questi
you are,sei
Force,Forza
pleases,piace
Pretty,Bello
where,Dove
money,soldi
I had,Avevo
favor,favore
is,È
others,altri
sorry,Scusa
right away,subito
in,In
Today,Oggi
agreement,accordo
all,Tutto
face,viso
name,nome
okay,Va bene
Night,Notte
these,questi
son,figlio
world,mondo
our,Nostro
know,Sapere
I go,Vado
all,Tutto
Wait,Aspettare
love,Amore
wife,moglie
Safe,Sicuro
his,il suo
I think,Penso
fear,Paura
idea,idea
head,Testa
Pope,Papa
Right,Giusto
huh,eh
I would like,vorrei
feel,Tatto
Soon,Presto
men,uomini
the,IL
Enough,Abbastanza
could be,potrebbe essere
same,Stesso
had,avevo
brings,porta
they were,Li avevamo
to stay,restare
Good,Bene
Therefore,Perciò
do it,fallo
as soon as,non appena
have,Avere
reason,motivo
sense,senso
Boys,Ragazzi
Tomorrow,Domani
lass,ragazza
lad,ragazzo
Together,Insieme
under,Sotto
I wanted,volevo
ready,pronto
in the,nel
that is,questo è
times,volte
Understood,Inteso
happens,succede
taken,preso
doing,facendo
Pleasure,Piacere
died,morto
yours,il tuo
captain,capitano
Bed,Letto
history,storia
case,caso
found,trovato
friends,amici
come,Venire
I say,dico
I understand,Capisco
problem,problema
until,Fino a
type,tipo
there,Là
here,Qui
you think,si pensa
have,Avere
days,giorni
fuck,Fanculo
okay,Va bene
Nothing,Niente
Handsome,Bello
people,persone
Good,Bene
Earth,Terra
ia,e.a
given,dato
second,secondo
movie,film
in the',nel'
hand,mano
we do,lo facciamo
We see,Vediamo
I see,Vedo
they are,sono
I would have,Lo avrei fatto
take,Prendere
you say,dici
it serves,serve
death,morte
less,meno
city,città
eyes,occhi
end,FINE
Mr,Sig
And,E
treasure,tesoro
Excuse me,Mi scusi
first,Primo
you believe,tu credi
Greetings,Saluti
ship,nave
we are,noi siamo
evening,sera
floor,pavimento
I feel,sento
machine,macchina
your,tuo
hands,mani
not even,nemmeno
from the,dal
doctor,medico
Which,Quale
Enough,Abbastanza
late,tardi
nice,Carino
Heart,Cuore
family,famiglia
to do,fare
states,stati
help,aiuto
devil,Diavolo
our,Nostro
with the,con il
Almost,Quasi
police,Polizia Stradale
boss,capo
would have,avrebbe
those,quelli
my,Mio
return,ritorno
but,Ma
against,contro
he comes,lui viene
While,Mentre
Excuse me,Mi scusi
alone,solo
I hope,Spero
those,quelli
find,Trovare
tour,tour
also,Anche
war,guerra
his,il suo
child,bambino
street,strada
old,vecchio
Brother,Fratello
waterfall,cascata
this evening,questa sera
I thought,ho pensato
call,chiamata
person,persona
you see,vedi
it was,era
year,anno
yours,il tuo
Truly,Veramente
finished,finito
Husband,Marito
minutes,minuti
below,sotto
women,donne
Bravo,Bravo
children,bambini
memories,ricordi
those,quelli
state,stato
hours,ore
I was,Ero
due,dovuto
neither,nessuno dei due
came,venni
backwards,indietro
same,Stesso
it matters,è importante
no,NO
point,punto
Instead,Invece
lost,perduto
possible,possibile
killed,ucciso
strong,forte
thought,Pensiero
should,Dovrebbe
thinks,pensa
little,poco
speaks,parla
lighthouse,faro
looking for,cercando
the,IL
truth,verità
left,Sinistra
that one,Quello
king,re
they do,lo fanno
I could,Potrei
important,importante
this,Questo
I love,io amo
asked,chiesto
Like this,Così
in the,nel
happy,Contento
feet,piedi
shit,merda
small,piccolo
you take,prendi
behind,dietro
I knew,Lo sapevo
Good morning,Buongiorno
past,passato
dollars,dollari
how',Come'
pure,puro
think,pensare
five,cinque
Neighbor,Vicino
go out,esci
I know,Lo so
towards,in direzione
other,altro
four,quattro
die,morire
blood,sangue
John,Giovanni
you were,eri
at least,almeno
say,Dire
leaves,foglie
live,vivere
guilt,colpevolezza
carried,portato
enter,entrare
I remember,mi ricordo
peace,pace
stuff,cose
Jack,Jack
improve,migliorare
you do,fate
difficult,difficile
week,settimana
last,scorso
I should,Dovrei
done,Fatto
I count,Conto
room,camera
between,fra
Anyway,Comunque
feel,Tatto
number,numero
spoke,parlato
mind,mente
put in order,mettere in ordine
strange,strano
fortune,fortuna
LOSE,PERDERE
yours,il tuo
nor,né
Daughter,Figlia
many,molti
you want,vuoi
doctor,medico
word,parola
gentlemen,signori
gone,andato
view,visualizzazione
see,Vedere
none,nessuno
until,Fino a
give,Dare
give me,dammi
Mr.,Sig.
months,mesi
fire,fuoco
he wanted,voleva
eat,mangiare
left,Sinistra
children,bambini
serious,serio
village,villaggio
will do,andrà bene
understand,capire
half,metà
trial,prova
dear,Caro
Why',Perché'
dog,cane
Tell me,Dimmi
ditches,fossati
sense,senso
James,Giacomo
I am able to,Sono in grado di farlo
Yesterday,Ieri
may,Maggio
could,Potevo
school,scuola
S.,S.
they can,possono
work,lavoro
it means,significa
rest,riposo
go,andare
small,piccolo
it seems,sembra
drink,bere
well,BENE
dinner,cena
young,giovane
problems,problemi
how many,quanti
big,grande
moment,momento
Listen,Ascoltare
to the,al
you should,dovresti
body,corpo
music,musica
game,gioco
which,Quale
air,aria
I will be,Lo sarò
make me,fammi
Perhaps,Forse
in front of,di fronte a
new,nuovo
I'm calling,Sto chiamando
type,tipo
book,libro
request,richiesta
called,chiamato
pass,passaggio
from,da
field,campo
long,lungo
come back,ritorno
couple,coppia
was,era
finished,finito
they will be,lo saranno
they want,vogliono
hey,EHI
sky,cielo
words,parole
car,auto
sister,sorella
new,nuovo
be,Essere
Miss,Mancare
party,festa
sorry,Scusa
above,Sopra
must,dovere
he wants,vuole
telephone,telefono
business,Attività commerciale
easy,facile
speaking,A proposito di
Dear,Caro
on,SU
ready,pronto
remain,rimanere
Attention,Attenzione
he believes,lui crede
our,Nostro
check,controllo
many,molti
unique,unico
we should,dovremmo
make yourself,fatti da solo
only,soltanto
more',Di più'
Good,Bene
whore,puttana
live,vivere
we know,lo sappiamo
light,leggero
general,generale
any,Qualunque
we want,vogliamo
last,scorso
they say,dicono
Very well,Ottimo
Harry,Harry
photo,foto
unique,unico
honor,onore
girls,ragazze
written,scritto
go,andare
keep,Mantenere
are,Sono
office,ufficio
enter,entrare
I ask,chiedo
courage,coraggio
going,andando
come,Venire
ten,dieci
I thought,ho pensato
wants,vuole
we could,potremmo
Exactly,Esattamente
believe,credere
deals with,si occupa di
we were,eravamo
arrived,arrivato
girl,ragazza
pistol,pistola
voice,voce
sleep,sonno
leave,Partire
I had,Avevo
clear,chiaro
I wait,Aspetto
squad,squadra
careful,attento
near,vicino
order,ordine
Joey,Joey
Until we meet again,Fino a quando non ci incontreremo di nuovo
he arrives,lui arriva
weapons,armi
on the,sul
at this point,a questo punto
greater,maggiore
rush,fretta
you will be,sarai
sack,sacco
facts,fatti
York,York
you speak,tu parli
hit,colpo
I would be,Lo sarei
me,Me
coffee,caffè
you understand,capisci
saying,detto
yours,il tuo
room,camera
some,Alcuni
look for,cercare
I arrive,Arrivo
wait,Aspettare
situation,situazione
we will do,lo faremo
decided,deciso
Exactly,Esattamente
must,dovere
Goodbye,Arrivederci
scene,scena
English,Inglese
Perfect,Perfetto
you can,puoi
do for me,fate per me
high,alto
of the,del
I take,Prendo
you know,Sai
well,BENE
you know,Sai
crazy,pazzo
you call,tu chiami
returned,restituito
safe,sicuro
leave,Partire
hair,capelli
candies,caramelle
you had,hai avuto
dead,morto
will have,avrà
Fantastic,Fantastico
marriage,matrimonio
step,fare un passo
bring,Portare
wait,Aspettare
I'm coming back,Sto tornando
arrive,arrivare
trouble,guaio
finds,trova
reason,motivo
stay,rimanere
start,inizio
stop it,smettila
become,diventare
you could,potresti
n',N'
wanted,ricercato
they go,vanno
he said,ha detto
dead,morto
of,Di
bath,bagno
Uncle,Zio
future,futuro
wrong,sbagliato
look,Aspetto
Like this',Così'
safety,sicurezza
piece,pezzo
they must,devono
coming,in arrivo
at the,al
lieutenant,tenente
silence,silenzio
port,porta
kill,uccisione
hatred,odio
on the,sul
play,giocare
distant,distante
during,durante
secret,segreto
sun,sole
put,Mettere
come on,Dai
tell me,Dimmi
system,sistema
voyage,viaggio
cause,causa
r,R
commander,comandante
weeks,settimane
simple,semplice
minute,minuto
fun,divertimento
you would have,avresti
big,grande
president,presidente
mouth,bocca
permit,permesso
old,vecchio
ass,culo
dream,sogno
give it to him,daglielo
c,C
watch,orologio
probably,probabilmente
I'm coming,Sto arrivando
leave me,lasciami
ie,cioè
in the,nel
do,Fare
stopped,fermato
shut up,stai zitto
TRUE,VERO
many,molti
in,In
colonel,colonnello
stupid,stupido
Christ,Cristo
he knows,lo sa
hunger,fame
treatment,trattamento
prison,prigione
finish,fine
you will do,lo farai
d,D
Good night,Buona notte
Tom,Tom
next,Prossimo
Good,Bene
species,specie
takes,prende
I would like to,Vorrei
about,Di
works,funziona
you have to,si deve
bad,Cattivo
go away,andare via
he feels,si sente
horse,cavallo
Sin,Peccato
morning,Mattina
advise,consigliare
change,modifica
to know it,per saperlo
use,utilizzo
naturally,naturalmente
continues,continua
choice,scelta
possibility,possibilità
Often,Spesso
from,da
tell you,dirtelo
rather,Piuttosto
I find,Trovo
bottom,metter il fondo a
remember,Ricordare
look,Aspetto
hospital,Ospedale
anyone,chiunque
Mary,Maria
will go,andrà
law,legge
agent,agente
beyond,al di là
had,avevo
service,servizio
many,molti
message,messaggio
day,giorno
he was doing,stava facendo
energy,energia
incredible,incredibile
room,camera
mandate,mandato
call,chiamata
where you go,dove va
free,gratuito
airplane,aereo
received,ricevuto
ports,porti
worry,preoccupazione
uh,eh
finally,Finalmente
which,Quale
asshole,Stronzo
monster,mostro
seven,Sette
ready,pronto
you put,hai messo
Henry,Enrico
plan,piano
could,Potevo
parts,parti
I knew,Lo sapevo
match,incontro
Kind,Tipo
to be able to,poterlo fare
Freddo,Freddo
yes,SÌ
they like,a loro piace
Clark,Clark
see you,ci vediamo
requests,richieste
worse,peggio
they know,lo sanno
parents,genitori
friend,amico
usual,al solito
soul,anima
terrible,terribile
Good evening,Buonasera
gold,oro
eye,occhio
Yes',SÌ'
radio,radio
how many,quanti
full,pieno
relationship,relazione
you will have,avrai
someone,qualcuno
try,Tentativo
cute,Carino
discovery,scoperta
America,America
money,soldi
company,azienda
interesting,interessante
lawyer,avvocato
t',T'
dress,vestito
Optimal,Ottimale
they had,avevano
army,esercito
clothes,vestiti
train,treno
happening,accadendo
month,mese
impossible,impossibile
whoever,chi
is worth,vale
in the,nel
millions,milioni
food,cibo
times,volte
Jim,Jim
more,Di più
over there,laggiù
environment,ambiente
they serve,servono
key,chiave
with,con
right,Giusto
forgotten,dimenticato
you,Voi
Christmas,Natale
calm,calma
otherwise,Altrimenti
t,T
Miss,Mancare
tried,provato
say it,dillo
cinema,cinema
ask,chiedere
delay,ritardo
reality,realtà
sea,mare
master,maestro
TV,TV
pay,paga
planet,pianeta
forehead,fronte
on me,su di me
both,Entrambi
day,giorno
changed,cambiato
it's of interest,è interessante
absolutely,assolutamente
answer,risposta
respect,rispetto
penalty,pena
Jesus,Gesù
Michael,Michele
encounter,incontrare
searched for,cercato
look,Aspetto
thinking,pensiero
Meaning what,Significato cosa
the,IL
news,notizia
surprise,sorpresa
bastard,bastardo
Health,Salute
letter,lettera
accident,incidente
big,grande
alone,solo
not at all,Affatto
it seemed,sembrava
degree,grado
help,aiuto
left,Sinistra
I had to,Dovevo
happy,Contento
song,canzone
he knew,lo sapeva
holy,santo
will come,verrà
we will be,lo saremo
special,speciale
he said,ha detto
position,posizione
group,gruppo
I swear,Lo giuro
